col_0,Partner,col_2,HS Code,Product,Year,UOM,April_Value,April_Qty,May_Value,May_Qty,June_Value,June_Qty,July_Value,July_Qty,August_Value,August_Qty,September_Value,September_Qty,October_Value,October_Qty,November_Value,November_Qty,December_Value,December_Qty,January_Value,January_Qty,February_Value,February_Qty,March_Value,March_Qty,Total_Value,Total_Qty,Total_Period/Period %  Change (Value),Total_Reporter Code,Total_Partner Code,Total_Product Code,Total_col,source_file
9,Dominican Republic,4,0810904640,"JACKFRUIT, FRESH",2024-2024,KG,0,0.0,0,0.0,0,0.0,0,0.0,5,381.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,5,381.0,,US,DR,0810904640,,Standard_Query_07568.csv
9,Dominican Republic,5,0810904660,"POMEGRANATES, FR",2024-2024,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,"2,850.0",0,0.0,0,0.0,0,0.0,,,,,,,3,"2,850.0",,US,DR,0810904660,,Standard_Query_07568.csv
9,Dominican Republic,6,0810904670,"RAMBUTAN, FRESH",2024-2024,KG,0,0.0,0,0.0,0,0.0,2,"1,704.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,2,"1,704.0",,US,DR,0810904670,,Standard_Query_07568.csv
9,Dominican Republic,7,0810904675,TOMATILLOS FR,2025-2025,KG,0,0.0,0,0.0,7,"14,142.0",5,"9,642.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,12,"23,784.0",,US,DR,0810904675,,Standard_Query_07568.csv
9,Dominican Republic,8,0810904680,"FRUITS, FRS, NES",2023-2023,KG,0,0.0,56,"43,115.0",249,"190,543.0",369,"318,853.0",460,"399,983.0",177,"141,261.0",7,"5,412.0",0,0.0,0,0.0,,,,,,,"1,320","1,099,167.0",,US,DR,0810904680,,Standard_Query_07568.csv
9,Dominican Republic,8,0810904680,"FRUITS, FRS, NES",2024-2024,KG,0,0.0,101,"73,232.0",441,"356,008.0",558,"456,259.0",393,"332,697.0",73,"52,811.0",16,"8,267.0",20,"8,387.0",29,"22,214.0",,,,,,,"1,632","1,309,875.0",,US,DR,0810904680,,Standard_Query_07568.csv
9,Dominican Republic,8,0810904680,"FRUITS, FRS, NES",2025-2025,KG,0,0.0,18,"14,086.0",159,"153,748.0",309,"294,698.0",239,"287,252.0",136,"137,955.0",17,"12,592.0",2,"3,067.0",0,0.0,,,,,,,880,"903,398.0",,US,DR,0810904680,,Standard_Query_07568.csv
10,Ecuador,1,0810904610,TOMATILLOS FR,2023-2023,KG,75,"26,006.0",78,"40,544.0",72,"29,767.0",66,"28,232.0",69,"26,780.0",69,"34,957.0",60,"28,720.0",69,"33,825.0",54,"22,915.0",,,,,,,610,"271,746.0",,US,EC,0810904610,,Standard_Query_07568.csv
10,Ecuador,1,0810904610,TOMATILLOS FR,2024-2024,KG,28,"19,422.0",36,"23,967.0",36,"19,572.0",25,"16,236.0",64,"38,631.0",68,"26,309.0",64,"31,456.0",45,"19,341.0",41,"14,382.0",,,,,,,406,"209,316.0",,US,EC,0810904610,,Standard_Query_07568.csv
10,Ecuador,2,0810904620,"CACTUS PEARS, FR",2024-2024,KG,149,"37,699.0",269,"64,790.0",245,"59,899.0",33,"9,450.0",0,0.0,10,"2,115.0",0,0.0,22,"2,700.0",0,0.0,,,,,,,729,"176,653.0",,US,EC,0810904620,,Standard_Query_07568.csv
10,Ecuador,3,0810904630,"DRAGON FRUIT, FR",2023-2023,KG,"5,113","2,011,238.0","4,885","1,463,246.0","5,350","1,370,326.0","4,139","1,349,290.0","3,626","1,342,469.0","4,891","2,036,829.0","5,649","3,005,241.0","4,145","2,548,401.0","5,013","3,210,676.0",,,,,,,"42,811","18,337,716.0",,US,EC,0810904630,,Standard_Query_07568.csv
10,Ecuador,3,0810904630,"DRAGON FRUIT, FR",2024-2024,KG,"4,894","2,227,088.0","3,824","1,919,647.0","4,305","1,998,070.0","3,853","2,151,525.0","3,914","2,131,950.0","3,770","1,999,043.0","4,383","2,678,690.0","4,091","2,640,003.0","4,922","3,376,832.0",,,,,,,"37,956","21,122,848.0",,US,EC,0810904630,,Standard_Query_07568.csv
10,Ecuador,3,0810904630,"DRAGON FRUIT, FR",2025-2025,KG,"4,263","2,197,950.0","4,990","1,753,271.0","5,078","2,119,157.0","3,722","2,581,659.0","3,192","2,399,623.0","3,412","2,006,643.0","4,293","2,998,391.0","3,689","2,930,108.0","3,968","3,282,496.0",,,,,,,"36,607","22,269,298.0",,US,EC,0810904630,,Standard_Query_07568.csv
10,Ecuador,4,0810904670,"RAMBUTAN, FRESH",2023-2023,KG,17,"8,565.0",9,"2,205.0",49,"14,891.0",64,"20,099.0",68,"14,923.0",12,"1,655.0",19,"4,050.0",0,0.0,0,0.0,,,,,,,238,"66,388.0",,US,EC,0810904670,,Standard_Query_07568.csv
10,Ecuador,4,0810904670,"RAMBUTAN, FRESH",2024-2024,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,452.0,0,0.0,0,0.0,0,0.0,,,,,,,2,452.0,,US,EC,0810904670,,Standard_Query_07568.csv
10,Ecuador,5,0810904675,TOMATILLOS FR,2025-2025,KG,59,"30,343.0",41,"18,275.0",62,"86,080.0",57,"38,700.0",51,"33,399.0",51,"28,930.0",29,"20,838.0",20,"15,325.0",42,"31,629.0",,,,,,,413,"303,519.0",,US,EC,0810904675,,Standard_Query_07568.csv
10,Ecuador,6,0810904680,"FRUITS, FRS, NES",2023-2023,KG,985,"374,638.0",948,"281,637.0",868,"224,618.0",611,"178,810.0",689,"207,433.0",659,"251,844.0",484,"214,963.0",487,"201,053.0",483,"225,071.0",,,,,,,"6,214","2,160,067.0",,US,EC,0810904680,,Standard_Query_07568.csv
10,Ecuador,6,0810904680,"FRUITS, FRS, NES",2024-2024,KG,381,"131,958.0",421,"128,462.0",463,"152,223.0",399,"157,556.0",499,"171,125.0",194,"80,174.0",209,"95,947.0",252,"132,406.0",231,"122,699.0",,,,,,,"3,050","1,172,550.0",,US,EC,0810904680,,Standard_Query_07568.csv
10,Ecuador,6,0810904680,"FRUITS, FRS, NES",2025-2025,KG,181,"87,726.0",223,"98,198.0",197,"83,761.0",197,"127,411.0",146,"80,267.0",261,"112,356.0",243,"134,121.0",135,"70,076.0",300,"150,712.0",,,,,,,"1,883","944,628.0",,US,EC,0810904680,,Standard_Query_07568.csv
